"74","yhoo","Yahoo! Inc.","32.83","3/4/2016","9:44am","667587"
"75","aapl","Apple Inc.","101.66","3/4/2016","9:44am","3658178"
"76","goog","Alphabet Inc.","708.76","3/4/2016","9:44am","191292"
"77","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","9:44am","90935"
"78","msft","Microsoft Corporation","51.79","3/4/2016","9:45am","2614128"
"79","yhoo","Yahoo! Inc.","32.80","3/4/2016","9:45am","714696"
"80","goog","Alphabet Inc.","709.98","3/4/2016","9:45am","195687"
"81","aapl","Apple Inc.","101.69","3/4/2016","9:45am","3812125"
"82","msft","Microsoft Corporation","51.83","3/4/2016","9:46am","2927180"
"83","yhoo","Yahoo! Inc.","32.89","3/4/2016","9:46am","772956"
"84","goog","Alphabet Inc.","709.59","3/4/2016","9:46am","206703"
"85","aapl","Apple Inc.","101.86","3/4/2016","9:46am","4032720"
"86","aapl","Apple Inc.","101.96","3/4/2016","9:47am","4075168"
"87","msft","Microsoft Corporation","51.90","3/4/2016","9:47am","3004208"
"88","yhoo","Yahoo! Inc.","32.92","3/4/2016","9:47am","799744"
"89","goog","Alphabet Inc.","710.19","3/4/2016","9:47am","216622"
"90","msft","Microsoft Corporation","51.88","3/4/2016","9:48am","3022943"
"91","yhoo","Yahoo! Inc.","32.92","3/4/2016","9:48am","805706"
"92","goog","Alphabet Inc.","709.85","3/4/2016","9:48am","221764"
"93","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","9:47am","102935"
"94","aapl","Apple Inc.","102.00","3/4/2016","9:48am","4248306"
"95","msft","Microsoft Corporation","51.89","3/4/2016","9:49am","3151649"
"96","yhoo","Yahoo! Inc.","32.99","3/4/2016","9:49am","826317"
"97","aapl","Apple Inc.","102.14","3/4/2016","9:49am","4404422"
"98","goog","Alphabet Inc.","710.13","3/4/2016","9:49am","226116"
"99","msft","Microsoft Corporation","51.85","3/4/2016","9:50am","3305104"
"100","yhoo","Yahoo! Inc.","33.01","3/4/2016","9:50am","912371"
"101","goog","Alphabet Inc.","709.64","3/4/2016","9:50am","233832"
"102","aapl","Apple Inc.","102.02","3/4/2016","9:50am","4635784"
"103","msft","Microsoft Corporation","51.90","3/4/2016","9:51am","3370979"
"104","yhoo","Yahoo! Inc.","33.02","3/4/2016","9:51am","961159"
"105","goog","Alphabet Inc.","710.15","3/4/2016","9:51am","238266"
"106","aapl","Apple Inc.","101.97","3/4/2016","9:51am","4838777"
"107","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","9:51am","103536"
"108","msft","Microsoft Corporation","51.84","3/4/2016","9:52am","3473175"
"109","yhoo","Yahoo! Inc.","33.00","3/4/2016","9:52am","1005209"
"110","goog","Alphabet Inc.","708.53","3/4/2016","9:52am","250472"
"111","aapl","Apple Inc.","101.86","3/4/2016","9:52am","5011388"
"112","msft","Microsoft Corporation","51.73","3/4/2016","9:53am","3635532"
"113","yhoo","Yahoo! Inc.","32.98","3/4/2016","9:53am","1139286"
"114","goog","Alphabet Inc.","706.40","3/4/2016","9:53am","270426"
"115","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","9:53am","113936"
"116","aapl","Apple Inc.","101.68","3/4/2016","9:53am","5177456"
"117","msft","Microsoft Corporation","51.75","3/4/2016","9:54am","3746279"
"118","yhoo","Yahoo! Inc.","33.06","3/4/2016","9:54am","1222760"
"119","goog","Alphabet Inc.","706.95","3/4/2016","9:54am","285811"
"120","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","9:54am","132736"
"121","aapl","Apple Inc.","101.75","3/4/2016","9:54am","5306308"
"122","msft","Microsoft Corporation","51.76","3/4/2016","9:55am","3859604"
"123","yhoo","Yahoo! Inc.","33.02","3/4/2016","9:55am","1257208"
"124","goog","Alphabet Inc.","706.04","3/4/2016","9:55am","295352"
"125","aapl","Apple Inc.","101.49","3/4/2016","9:55am","5601097"
"126","msft","Microsoft Corporation","51.82","3/4/2016","9:56am","3924195"
"127","yhoo","Yahoo! Inc.","33.03","3/4/2016","9:56am","1282657"
"128","goog","Alphabet Inc.","706.65","3/4/2016","9:56am","310040"
"129","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","9:56am","134496"
"130","aapl","Apple Inc.","101.50","3/4/2016","9:56am","5709101"
"131","msft","Microsoft Corporation","51.82","3/4/2016","9:57am","3959863"
"132","yhoo","Yahoo! Inc.","33.12","3/4/2016","9:57am","1334608"
"133","goog","Alphabet Inc.","707.47","3/4/2016","9:57am","317446"
"134","vgz","Vista Gold Corp Common Stock","0.55","3/4/2016","9:57am","135296"
"135","aapl","Apple Inc.","101.78","3/4/2016","9:57am","5927360"
"136","msft","Microsoft Corporation","51.86","3/4/2016","9:58am","4033362"
"137","yhoo","Yahoo! Inc.","33.07","3/4/2016","9:58am","1356164"
"138","goog","Alphabet Inc.","707.47","3/4/2016","9:58am","326736"
"139","vgz","Vista Gold Corp Common Stock","0.55","3/4/2016","9:58am","136297"
"140","aapl","Apple Inc.","101.77","3/4/2016","9:58am","6228942"
"141","msft","Microsoft Corporation","51.90","3/4/2016","9:59am","4091985"
"142","yhoo","Yahoo! Inc.","33.11","3/4/2016","9:59am","1387184"
"143","goog","Alphabet Inc.","708.00","3/4/2016","9:59am","331296"
"144","vgz","Vista Gold Corp Common Stock","0.55","3/4/2016","9:59am","142797"
"145","aapl","Apple Inc.","101.72","3/4/2016","9:59am","6317136"
"146","msft","Microsoft Corporation","52.01","3/4/2016","10:00am","4187292"
"147","yhoo","Yahoo! Inc.","33.15","3/4/2016","10:00am","1552740"
"148","goog","Alphabet Inc.","708.16","3/4/2016","10:00am","338000"
"149","aapl","Apple Inc.","101.75","3/4/2016","10:00am","6435907"
"150","msft","Microsoft Corporation","52.03","3/4/2016","10:01am","4238519"
"151","aapl","Apple Inc.","101.76","3/4/2016","10:01am","6456106"
"152","yhoo","Yahoo! Inc.","33.17","3/4/2016","10:01am","1587887"
"153","goog","Alphabet Inc.","707.23","3/4/2016","10:01am","342069"
"154","msft","Microsoft Corporation","52.00","3/4/2016","10:02am","4271069"
"155","yhoo","Yahoo! Inc.","33.13","3/4/2016","10:02am","1721231"
"156","goog","Alphabet Inc.","706.67","3/4/2016","10:02am","347782"
"157","aapl","Apple Inc.","101.51","3/4/2016","10:02am","6607861"
"158","msft","Microsoft Corporation","51.94","3/4/2016","10:03am","4338089"
"159","yhoo","Yahoo! Inc.","33.19","3/4/2016","10:03am","1982441"
"160","aapl","Apple Inc.","101.53","3/4/2016","10:03am","6651855"
"161","goog","Alphabet Inc.","706.99","3/4/2016","10:03am","350260"
"162","msft","Microsoft Corporation","51.94","3/4/2016","10:04am","4400829"
"163","yhoo","Yahoo! Inc.","33.21","3/4/2016","10:04am","2064407"
"164","goog","Alphabet Inc.","707.44","3/4/2016","10:04am","352852"
"165","aapl","Apple Inc.","101.58","3/4/2016","10:04am","6791751"
"166","msft","Microsoft Corporation","51.92","3/4/2016","10:05am","4485428"
"167","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","10:04am","149540"
"168","aapl","Apple Inc.","101.56","3/4/2016","10:05am","6858385"
"169","yhoo","Yahoo! Inc.","33.25","3/4/2016","10:05am","2179116"
"170","goog","Alphabet Inc.","706.58","3/4/2016","10:05am","356569"
"171","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","10:05am","164540"
"172","msft","Microsoft Corporation","51.82","3/4/2016","10:06am","4559122"
"173","yhoo","Yahoo! Inc.","33.23","3/4/2016","10:06am","2211279"
"174","aapl","Apple Inc.","101.42","3/4/2016","10:06am","6933418"
"175","goog","Alphabet Inc.","707.63","3/4/2016","10:06am","365615"
"176","vgz","Vista Gold Corp Common Stock","0.55","3/4/2016","10:06am","187990"
"177","msft","Microsoft Corporation","51.94","3/4/2016","10:07am","4638966"
"178","yhoo","Yahoo! Inc.","33.30","3/4/2016","10:07am","2318862"
"179","goog","Alphabet Inc.","707.71","3/4/2016","10:07am","368928"
"180","vgz","Vista Gold Corp Common Stock","0.55","3/4/2016","10:07am","195290"
"181","aapl","Apple Inc.","101.62","3/4/2016","10:07am","7108043"
"182","msft","Microsoft Corporation","51.89","3/4/2016","10:08am","4763218"
"183","yhoo","Yahoo! Inc.","33.40","3/4/2016","10:08am","2448684"
"184","goog","Alphabet Inc.","707.69","3/4/2016","10:08am","370681"
"185","aapl","Apple Inc.","101.66","3/4/2016","10:08am","7227484"
"186","msft","Microsoft Corporation","51.85","3/4/2016","10:09am","4831226"
"187","yhoo","Yahoo! Inc.","33.44","3/4/2016","10:09am","2569621"
"188","goog","Alphabet Inc.","707.83","3/4/2016","10:09am","372904"
"189","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","10:09am","204490"
"190","aapl","Apple Inc.","101.67","3/4/2016","10:09am","7335182"
"191","msft","Microsoft Corporation","51.81","3/4/2016","10:10am","4888151"
"192","yhoo","Yahoo! Inc.","33.45","3/4/2016","10:10am","2690939"
"193","goog","Alphabet Inc.","707.01","3/4/2016","10:10am","378085"
"194","aapl","Apple Inc.","101.64","3/4/2016","10:10am","7414600"
"195","vgz","Vista Gold Corp Common Stock","0.54","3/4/2016","10:10am","206870"
"196","msft","Microsoft Corporation","51.83","3/4/2016","10:11am","4936019"
"197","yhoo","Yahoo! Inc.","33.49","3/4/2016","10:11am","2759815"
"198","goog","Alphabet Inc.","706.87","3/4/2016","10:11am","380153"
"199","aapl","Apple Inc.","101.68","3/4/2016","10:11am","7496351"
"200","msft","Microsoft Corporation","51.88","3/4/2016","10:12am","4974235"
"201","yhoo","Yahoo! Inc.","33.51","3/4/2016","10:12am","2900261"
"202","goog","Alphabet Inc.","707.54","3/4/2016","10:12am","387357"
"203","vgz","Vista Gold Corp Common Stock","0.55","3/4/2016","10:12am","213770"
"204","aapl","Apple Inc.","101.76","3/4/2016","10:12am","7583139"
"205","msft","Microsoft Corporation","51.92","3/4/2016","10:13am","5009934"
"206","yhoo","Yahoo! Inc.","33.55","3/4/2016","10:13am","3131727"
"207","goog","Alphabet Inc.","707.81","3/4/2016","10:13am","393072"
"208","vgz","Vista Gold Corp Common Stock","0.55","3/4/2016","10:13am","253972"
"209","aapl","Apple Inc.","101.81","3/4/2016","10:13am","7672547"
"210","msft","Microsoft Corporation","51.94","3/4/2016","10:14am","5049830"
"211","yhoo","Yahoo! Inc.","33.54","3/4/2016","10:14am","3201319"
"212","goog","Alphabet Inc.","707.76","3/4/2016","10:14am","397390"
"213","vgz","Vista Gold Corp Common Stock","0.58","3/4/2016","10:14am","258722"
"214","aapl","Apple Inc.","101.78","3/4/2016","10:14am","8017314"
"215","msft","Microsoft Corporation","51.92","3/4/2016","10:15am","5128642"
"216","yhoo","Yahoo! Inc.","33.63","3/4/2016","10:15am","3759596"
"217","goog","Alphabet Inc.","707.41","3/4/2016","10:15am","405607"
"218","vgz","Vista Gold Corp Common Stock","0.58","3/4/2016","10:15am","260022"
"219","aapl","Apple Inc.","101.80","3/4/2016","10:15am","8114091"
"220","msft","Microsoft Corporation","51.87","3/4/2016","10:16am","5251656"
"221","yhoo","Yahoo! Inc.","33.62","3/4/2016","10:16am","3840101"
